"child_id","response_id","time","time_stamp","list","age","sex","lp","doe_catalan","doe_spanish","edu_parent"
"56129","997",1,2020-05-30,"bvq-short",20.6324435318275,"male","Bilingual",0.3,0.7,"University"
"56132","713",1,2020-04-15,"bvq-short",19.3839835728953,"male","Bilingual",0.6,0.4,"University"
"56137","1017",1,2020-05-28,"bvq-short",20.3696098562628,"male","Bilingual",0.5,0.5,"University"
"56139","1358",1,2020-06-19,"bvq-short",21.1252566735113,"male","Bilingual",0.4,0.6,"University"
"56140","702",1,2020-04-01,"bvq-short",18.5297741273101,"male","Monolingual",0.1,0.9,"University"
"56144","721",2,2020-06-11,"bvq-short",22.2422997946612,"female","Monolingual",0.8,0.1,"Vocational"
"56150","1107",1,2020-06-04,"bvq-short",21.8480492813142,"female","Bilingual",0.6,0.4,"University"
"56156","964",2,2020-06-08,"bvq-short",21.9794661190965,"male","Monolingual",0.9,0.1,NA
"56180","1016",1,2020-05-31,"bvq-short",20.4024640657084,"male","Monolingual",1,0,"University"
"56181","1106",1,2020-05-26,"bvq-short",20.2710472279261,"male","Bilingual",0.5,0.5,"University"
"56187","1078",1,2020-05-26,"bvq-short",20.1724845995893,"male","Monolingual",1,0,"University"
"56201","1091",1,2020-06-02,"bvq-short",20.2710472279261,"female","Bilingual",0.25,0.75,"University"
"56210","1307",1,2020-07-13,"bvq-short",21.6180698151951,"male","Bilingual",0.3,0.7,"Secondary"
"56220","1014",1,2020-05-16,"bvq-short",19.64681724846,"male","Bilingual",0.6,0.4,"Vocational"
"56226","696",1,2020-04-14,"bvq-short",18.5954825462012,"female","Monolingual",0.9,0.1,"University"
"56229","1308",1,2020-06-10,"bvq-short",20.4681724845996,"female","Monolingual",0.2,0.8,"University"
"56234","1410",1,2020-07-13,"bvq-short",21.4537987679671,"male","Bilingual",0.4,0.6,"University"
"56237","1537",2,2020-11-22,"bvq-lockdown",25.7905544147844,"female","Monolingual",0,1,"University"
"56237","912",1,2020-05-06,"bvq-short",19.2197125256674,"female","Monolingual",0,1,"University"
"56315","1411",1,2020-07-14,"bvq-short",21.3223819301848,"male","Bilingual",0.3,0.7,"Vocational"
"56317","1022",1,2020-05-25,"bvq-short",19.7125256673511,"female","Bilingual",0.5,0.5,"University"
"56322","911",1,2020-05-07,"bvq-short",19.088295687885,"male","Bilingual",0.4,0.6,"Vocational"
"56331","1412",1,2020-07-13,"bvq-short",21.2566735112936,"female","Bilingual",0.6,0.4,"University"
"56332","1168",1,2020-05-28,"bvq-short",19.7125256673511,"female","Monolingual",0.1,0.9,"University"
"56334","1681",3,2021-05-02,"bvq-lockdown",30.7843942505133,"female","Monolingual",0.8,0.15,"University"
"56334","678",1,2020-04-01,"bvq-short",17.7741273100616,"female","Monolingual",1,0,"University"
"56343","1413",1,2020-07-14,"bvq-short",21.1581108829569,"female","Bilingual",0.5,0.5,"University"
"56344","1676",3,2021-04-21,"bvq-lockdown",30.4229979466119,"female","Monolingual",0.2,0.8,"University"
"56344","1575",2,2021-01-01,"bvq-lockdown",26.8090349075975,"female","Monolingual",0.2,0.8,"University"
"56344","1311",1,2020-06-14,"bvq-short",20.2053388090349,"female","Monolingual",0.2,0.8,"University"
